date,value,precip,windmax,windmaxdir,rhhi,temphi,templo,avgtemp
2023-11-15,35678602.0,0.0,6.08364,64.5736,67.119051,12.06295,0.64075,6.35
2023-11-16,35256629.0,12.44,13.55878,119.1847,50.525982,11.21991,4.20978,7.71
2023-11-17,35301802.0,12.44,14.96498,144.3571,40.606742,8.91594,1.81613,5.37
2023-11-18,34904232.0,0.0,10.14872,80.8393,46.203507,13.48843,-0.41571,6.54
2023-11-19,33468861.0,0.0,7.36541,174.6058,63.932925,16.02894,3.08111,9.56
2023-11-20,33625727.0,0.0,9.23682,274.7408,67.347414,17.02983,3.56464,10.3
2023-11-21,34004743.0,0.0,10.42895,115.1428,75.387378,19.55673,7.6387,13.6
2023-11-22,34477876.0,12.44,8.29781,93.9191,72.062342,17.46554,6.43867,11.95
2023-11-23,34612305.0,12.44,18.62946,149.3417,38.626495,9.343,-0.69961,4.32
2023-11-24,34919644.0,12.44,8.82124,200.0521,41.274265,4.80079,-3.01387,0.89
2023-11-25,35423582.0,31.98,7.16008,306.8906,54.947371,6.70094,-1.66354,2.52
2023-11-26,34577746.0,33.86,5.33124,103.0944,77.732139,9.20201,2.66856,5.94
2023-11-27,34890634.0,0.0,8.93603,129.6774,69.520327,12.87585,1.18358,7.03
2023-11-28,34975463.0,12.44,7.85539,233.7988,49.895194,8.06753,-0.75202,3.66
2023-11-29,35124602.0,12.44,13.45517,180.4759,47.703864,4.25268,-3.19531,0.53
2023-11-30,34619568.0,12.44,8.22027,108.7106,44.188303,3.98967,-4.82635,-0.42
2023-12-01,34507393.0,12.44,7.1582,73.4743,47.747213,6.48964,-4.44106,1.02
2023-12-02,34239595.0,0.0,7.17753,85.2722,52.156566,9.58115,-2.32512,3.63
2023-12-03,32844752.0,0.0,7.25652,112.3534,57.313479,11.06283,-2.79314,4.13
2023-12-04,33396796.0,0.0,8.75989,33.3102,61.652943,14.38105,1.91837,8.15
2023-12-05,33822521.0,0.0,6.54356,23.3659,68.888504,16.26545,0.20544,8.24
2023-12-06,34088709.0,0.0,11.98178,115.3754,43.080328,12.26529,3.04463,7.65
2023-12-07,34444954.0,0.0,12.10668,44.9276,45.495094,17.79139,3.76475,10.78
2023-12-08,34571330.0,0.0,9.29322,35.5548,56.003111,20.94287,7.05629,14.0
2023-12-09,34713844.0,0.0,14.75531,229.1497,68.520978,13.55201,4.75081,9.15
2023-12-10,34275005.0,34.16,20.30268,217.5252,60.524949,5.67717,1.5439,3.61
2023-12-11,35819171.0,101.32,18.33461,187.8957,77.0152,1.9676,-2.09695,-0.06
2023-12-12,35994737.0,0.0,18.13334,202.6905,64.247008,2.59783,-3.21509,-0.31
2023-12-13,36438018.0,97.65,17.37765,237.2386,71.811943,2.38699,-1.92804,0.23
2023-12-14,36101900.0,101.32,15.24828,201.6838,85.954073,3.3664,-1.00647,1.18
2023-12-15,35718623.0,51.88,16.8819,164.2589,67.896892,-0.9853,-7.182,-4.08
2023-12-16,34935731.0,23.33,15.01597,132.3411,52.320343,-5.46221,-11.44335,-8.45
2023-12-17,33815670.0,23.33,15.01217,220.4467,39.133784,-3.74325,-12.75816,-8.25
2023-12-18,35297381.0,45.25,14.79488,247.1135,48.887714,-1.33728,-8.14805,-4.74
2023-12-19,35258107.0,28.55,13.24388,158.7773,56.965199,-0.86638,-9.45336,-5.16
2023-12-20,35018731.0,23.33,11.41809,148.1092,43.664456,-5.97715,-12.04654,-9.01
2023-12-21,34873130.0,23.33,10.50494,129.4371,39.502782,-7.0769,-13.2777,-10.18
2023-12-22,34649403.0,12.44,10.1818,117.2186,36.486743,-1.84248,-12.09531,-6.97
2023-12-23,34710492.0,10.89,9.45882,92.5804,48.218749,0.13394,-10.01198,-4.94
2023-12-24,33823806.0,10.89,8.21623,76.7596,49.504559,0.99156,-9.78439,-4.4
2023-12-25,33139969.0,10.89,8.03812,119.5566,46.209843,4.67383,-8.08156,-1.7
2023-12-26,32444672.0,10.89,8.02235,219.1889,68.753734,5.74932,-3.71189,1.02
2023-12-27,31647795.0,10.89,7.12095,234.4091,72.275233,4.83206,-3.35617,0.74
2023-12-28,30690788.0,0.0,5.51861,170.1688,82.120382,5.37863,-4.32491,0.53
2023-12-29,30019407.0,48.56,5.34582,280.5304,90.010215,4.33449,-3.93592,0.2
2023-12-30,27558062.0,24.8,8.20097,91.5325,80.752856,6.05582,-0.78944,2.63
2023-12-31,25128395.0,0.0,11.26265,189.1301,73.425241,4.23294,-3.90528,0.16
2024-01-01,26035166.0,0.0,10.24484,160.502,60.960345,3.90515,-5.56126,-0.83
2024-01-02,32970970.0,0.0,8.45027,66.0777,62.188934,6.13993,-3.33625,1.4
2024-01-03,35359694.0,0.0,8.36966,100.7395,60.067768,6.21027,-3.77233,1.22
2024-01-04,35954968.0,0.0,11.66868,26.2022,73.518471,10.16484,-1.51422,4.33
2024-01-05,36539574.0,0.0,6.08824,211.1514,66.792855,8.2652,-2.18829,3.04
2024-01-06,36502586.0,0.0,9.98186,171.1737,57.27903,5.14162,-4.35677,0.39
2024-01-07,35697906.0,0.0,7.34335,223.7607,49.053817,2.72242,-6.98432,-2.13
2024-01-08,36655671.0,0.0,9.51493,222.1305,59.560497,6.13397,-5.5103,0.31
2024-01-09,37283203.0,0.0,9.18319,184.2421,75.165003,4.59236,-2.80949,0.89
2024-01-10,36471706.0,0.0,9.52803,64.2195,62.045906,5.25214,-5.29769,-0.02
2024-01-11,36335178.0,0.0,8.27546,94.0398,71.507496,10.23617,-1.56538,4.34
2024-01-12,36394380.0,0.0,5.25935,273.496,77.627284,10.14827,-1.90013,4.12
2024-01-13,36326365.0,0.0,7.09591,316.4903,83.626733,9.74185,-1.44746,4.15
2024-01-14,35377372.0,19.58,15.84819,195.0746,63.485266,4.47205,-4.53805,-0.03
2024-01-15,36176654.0,0.0,6.41371,202.2973,48.590091,4.48539,-6.5602,-1.04
2024-01-16,37142773.0,46.84,5.35721,250.2271,61.300709,3.54085,-2.63162,0.45
2024-01-17,37341149.0,101.32,5.98255,203.6509,90.013946,2.969,0.45768,1.71
2024-01-18,37059525.0,0.0,12.64759,207.1712,78.92333,2.8326,-1.93821,0.45
2024-01-19,37276509.0,3.67,13.17087,203.3317,71.522741,1.54949,-2.70406,-0.58
2024-01-20,36945530.0,22.97,13.47252,189.6778,73.27407,1.5201,-3.49669,-0.99
2024-01-21,35570546.0,12.44,15.8636,180.6406,55.137198,-1.06517,-7.88741,-4.48
2024-01-22,36131927.0,12.44,14.65653,167.4849,33.641009,-4.25455,-10.03229,-7.14
2024-01-23,35786522.0,3.67,12.4785,123.5672,32.262599,-1.20318,-10.14286,-5.67
2024-01-24,34966425.0,0.0,8.17139,160.258,37.29022,2.94651,-7.49531,-2.27
2024-01-25,33279417.0,0.0,5.82165,76.5025,43.917887,5.34199,-6.47519,-0.57
2024-01-26,32626236.0,0.0,5.83646,123.5497,45.435019,6.13631,-5.16937,0.48
2024-01-27,31774195.0,0.0,5.62383,188.3271,54.102122,5.53526,-5.24746,0.14
2024-01-28,30045618.0,0.0,6.11916,84.3856,50.448392,7.48688,-5.67419,0.91
2024-01-29,29023901.0,0.0,7.68398,298.7055,61.343347,9.24505,-3.84699,2.7
2024-01-30,27925056.0,0.0,7.78255,287.3992,77.110318,7.51754,-1.39851,3.06
2024-01-31,26534505.0,39.09,12.94836,214.2177,83.363569,4.71604,-3.40027,0.66
2024-02-01,24286029.0,40.51,17.88411,206.6531,61.311598,-2.40852,-6.52369,-4.47
2024-02-02,21870041.0,7.7,9.69337,205.7604,53.482508,-0.14978,-7.66981,-3.91
2024-02-03,20069501.0,2.89,10.83517,197.0118,58.133936,1.03052,-4.41495,-1.69
2024-02-04,18603895.0,101.32,11.28562,201.2981,65.734123,0.00246,-4.78798,-2.39
2024-02-05,15813208.0,38.8,10.65236,165.9314,71.045098,1.18304,-6.0118,-2.41
2024-02-06,13044450.0,0.0,7.21596,198.4398,60.611318,3.39521,-6.61693,-1.61
2024-02-07,10620124.0,0.0,7.02525,178.2649,60.464777,4.43624,-5.54504,-0.55
2024-02-08,7972232.0,0.0,5.63048,95.8691,60.942445,5.62114,-4.83424,0.39
2024-02-09,5474506.0,0.0,6.99571,48.8495,64.614626,8.86113,-3.46112,2.7
2024-02-10,4845458.0,0.0,5.74537,189.0394,64.102581,8.42701,-2.56296,2.93
2024-02-11,5316133.0,0.0,8.26306,52.0049,57.313291,12.48287,-2.71215,4.89
2024-02-12,6625126.0,0.0,12.71887,61.9907,63.669525,15.57636,2.31756,8.95
2024-02-13,9113129.0,0.0,10.07576,85.7264,67.04246,18.27649,4.79453,11.54
2024-02-14,11581042.0,84.23,12.21829,213.9153,74.609789,15.83444,1.80131,8.82
2024-02-15,15340536.0,36.75,11.57676,200.9282,49.641445,7.18119,-1.40539,2.89
2024-02-16,19289448.0,0.0,15.30995,69.2229,51.252781,10.89842,-0.64883,5.12
2024-02-17,22505331.0,0.0,14.03776,195.4954,68.435618,11.49443,2.77979,7.14
2024-02-18,26836130.0,90.79,11.4425,275.2707,88.978815,14.00538,6.68202,10.34
2024-02-19,29956223.0,79.08,23.72708,205.5775,59.638372,7.98473,-1.83102,3.08
2024-02-20,32157502.0,101.32,22.05083,212.9557,59.30411,-1.34362,-5.38881,-3.37
2024-02-21,32848234.0,101.32,21.46318,192.0343,78.568005,-4.45254,-6.45316,-5.45
2024-02-22,33155443.0,12.44,16.15189,194.0727,66.611501,-1.49004,-6.07204,-3.78
